product_name,category,gender,region,occasion
Sherwani,Ethnic Wear,boy,north_india,wedding
Lehenga,Ethnic Wear,girl,north_india,wedding
Pathani Suit,Ethnic Wear,boy,hyderabad,ramzan
Kurti,Ethnic Wear,girl,north_india,dasara
Gown,Western Wear,girl,all,birthday
T-shirt,Western Wear,boy,all,birthday
White Kurta,Ethnic Wear,boy,north_india,independence_day
Anarkali,Ethnic Wear,girl,hyderabad,ramzan
Saree,Ethnic Wear,girl,south_india,onam
Dhoti Kurta,Ethnic Wear,boy,south_india,pongal
Ghagra Choli,Ethnic Wear,girl,gujarat,navratri
Bandhgala,Ethnic Wear,boy,rajasthan,diwali
Salwar Kameez,Ethnic Wear,girl,punjab,lohri
Pattu Pavadai,Ethnic Wear,girl,tamil_nadu,deepavali
Kurta Pajama,Ethnic Wear,boy,all_india,holi
Indo-Western Dress,Fusion Wear,girl,metro_cities,reception_party
Jodhpuri Suit,Ethnic Wear,boy,jodhpur,formal_event
Kanjeevaram Saree,Ethnic Wear,girl,tamil_nadu,temple_visit
Churidhar,Ethnic Wear,girl,all_india,ganesh_chaturthi
Nehru Jacket,Ethnic Wear,boy,all_india,raksha_bandhan
Frock,Western Wear,girl,all,christmas_party
Suit,Western Wear,boy,all,new_year_eve
Kimono,Ethnic Wear,girl,japan,cherry_blossom_festival
Hanbok,Ethnic Wear,boy,korea,chuseok
Dirndl,Ethnic Wear,girl,germany,oktoberfest
Lederhosen,Ethnic Wear,boy,germany,oktoberfest
Kilt,Ethnic Wear,boy,scotland,highland_games
Abaya,Ethnic Wear,girl,middle_east,eid
Thobe,Ethnic Wear,boy,middle_east,eid_al_fitr
Ao Dai,Ethnic Wear,girl,vietnam,tet_festival
Barong Tagalog,Ethnic Wear,boy,philippines,fiesta
Dashiki,Ethnic Wear,boy,africa,cultural_festival
Kaftan,Ethnic Wear,girl,africa,cultural_festival
Pheran,Ethnic Wear,boy,kashmir,winter_festival
Mekhela Chador,Ethnic Wear,girl,assam,bihu
Punjabi Suit,Ethnic Wear,girl,punjab,baisakhi
Mundu,Ethnic Wear,boy,kerala,vishu
Langa Voni,Ethnic Wear,girl,andhra_pradesh,sankranti
Blazer,Western Wear,boy,all,graduation_ceremony
Cocktail Dress,Western Wear,girl,all,anniversary_dinner
Chaniya Choli,Ethnic Wear,girl,gujarat,garba_night
Sherwani Junior,Ethnic Wear,boy,north_india,family_function
Sharara Suit,Ethnic Wear,girl,lucknow,eid_milad_un_nabi
Dhoti Pants with Kurta,Fusion Wear,boy,metro_cities,mehendi_ceremony
Peplum Top with Skirt,Fusion Wear,girl,all,sangeet_ceremony
Achkan,Ethnic Wear,boy,uttar_pradesh,durga_puja
Garara,Ethnic Wear,girl,pakistan,nikaah
Tuxedo,Western Wear,boy,all,black_tie_event
Ball Gown,Western Wear,girl,all,prom_night
Cheongsam,Ethnic Wear,girl,china,chinese_new_year
Samfu,Ethnic Wear,boy,china,chinese_new_year
Santa Claus Costume,Costume,boy,all,christmas
Easter Bunny Costume,Costume,girl,all,easter
Halloween Costume,Costume,boy,all,halloween
Fairy Dress,Costume,girl,all,fantasy_party
Superhero Cape,Costume,boy,all,comic_con
Traditional Veshti,Ethnic Wear,boy,south_india,upanayanam
Kasavu Saree,Ethnic Wear,girl,kerala,onam_sadya
Bomber Jacket,Western Wear,boy,all,casual_outing
Denim Skirt,Western Wear,girl,all,picnic
Tracksuit,Sportswear,boy,all,sports_day
Leotard,Sportswear,girl,all,gymnastics_competition
Swim Trunks,Swimwear,boy,all,beach_vacation
Bikini,Swimwear,girl,all,pool_party
Snowsuit,Outerwear,boy,cold_regions,ski_trip
Parka,Outerwear,girl,cold_regions,winter_holiday
Kurta Dhoti Set,Ethnic Wear,boy,bengal,saraswati_puja
Benarasi Saree,Ethnic Wear,girl,varanasi,bengali_wedding
Kedia Dhoti,Ethnic Wear,boy,gujarat,dandiya_raas
Patiala Salwar,Ethnic Wear,girl,punjab,gurpurab
Angrakha Kurta,Ethnic Wear,boy,rajasthan,teej_festival
Leheriya Saree,Ethnic Wear,girl,rajasthan,gangaur_festival
Trench Coat,Outerwear,boy,all,rainy_season
Raincoat,Outerwear,girl,all,monsoon
Ethnic Jacket,Ethnic Wear,boy,all_india,festive_gathering
Palazzo Suit,Ethnic Wear,girl,all_india,kitty_party
Jumpsuit,Western Wear,girl,all,brunch
Shorts and Shirt,Western Wear,boy,all,summer_camp
Wrap Dress,Western Wear,girl,all,date_night
