product_name,category,gender,region,occasion
Sherwani,Ethnic Wear,boy,north_india,wedding
Lehenga,Ethnic Wear,girl,north_india,wedding
Pathani Suit,Ethnic Wear,boy,hyderabad,ramzan
Kurti,Ethnic Wear,girl,north_india,dasara
Gown,Western Wear,girl,all,birthday
T-shirt,Western Wear,boy,all,birthday
White Kurta,Ethnic Wear,boy,north_india,independence_day
Anarkali,Ethnic Wear,girl,hyderabad,ramzan
Saree,Ethnic Wear,girl,south_india,onam
Dhoti Kurta,Ethnic Wear,boy,south_india,pongal
Ghagra Choli,Ethnic Wear,girl,gujarat,navratri
Bandhgala,Ethnic Wear,boy,rajasthan,diwali
Salwar Kameez,Ethnic Wear,girl,punjab,lohri
Pattu Pavadai,Ethnic Wear,girl,tamil_nadu,deepavali
Kurta Pajama,Ethnic Wear,boy,all_india,holi
Indo-Western Dress,Fusion Wear,girl,metro_cities,reception_party
Jodhpuri Suit,Ethnic Wear,boy,jodhpur,formal_event
Kanjeevaram Saree,Ethnic Wear,girl,tamil_nadu,temple_visit
Churidhar,Ethnic Wear,girl,all_india,ganesh_chaturthi
Nehru Jacket,Ethnic Wear,boy,all_india,raksha_bandhan
Frock,Western Wear,girl,all,christmas_party
Suit,Western Wear,boy,all,new_year_eve
Kimono,Ethnic Wear,girl,japan,cherry_blossom_festival
Hanbok,Ethnic Wear,boy,korea,chuseok
Dirndl,Ethnic Wear,girl,germany,oktoberfest
Lederhosen,Ethnic Wear,boy,germany,oktoberfest
Kilt,Ethnic Wear,boy,scotland,highland_games
Abaya,Ethnic Wear,girl,middle_east,eid
Thobe,Ethnic Wear,boy,middle_east,eid_al_fitr
Ao Dai,Ethnic Wear,girl,vietnam,tet_festival
Barong Tagalog,Ethnic Wear,boy,philippines,fiesta
Dashiki,Ethnic Wear,boy,africa,cultural_festival
Kaftan,Ethnic Wear,girl,africa,cultural_festival
Pheran,Ethnic Wear,boy,kashmir,winter_festival
Mekhela Chador,Ethnic Wear,girl,assam,bihu
Punjabi Suit,Ethnic Wear,girl,punjab,baisakhi
Mundu,Ethnic Wear,boy,kerala,vishu
Langa Voni,Ethnic Wear,girl,andhra_pradesh,sankranti
Blazer,Western Wear,boy,all,graduation_ceremony
Cocktail Dress,Western Wear,girl,approx. 150 rows from previous dataset...
Business Suit,Formal Wear,boy,all,corporate_board_meeting
Pencil Skirt and Blouse,Formal Wear,girl,all,corporate_presentation
White Coat,Workwear,boy,all,medical_doctor_hospital
Nurse Scrubs,Workwear,girl,all,nursing_shift
Formal Black Robe,Formal Wear,boy,all,courtroom_lawyer
Power Suit,Formal Wear,girl,all,legal_consultation
Khadi Kurta Set,Ethnic Wear,boy,all_india,academic_seminar
Churidar Suit,Ethnic Wear,girl,all_india,university_lecture
Tech Hoodie,Casual Wear,boy,silicon_valley,tech_startup_meeting
Athleisure Blazer,Fusion Wear,girl,silicon_valley,tech_conference
Tailored Shirt and Trousers,Formal Wear,boy,all,job_interview_finance
Business Casual Dress,Formal Wear,girl,all,job_interview_marketing
Lab Coat,Workwear,boy,all,research_laboratory
Formal Saree,Ethnic Wear,girl,all_india,government_official_meeting
Nehru Suit,Ethnic Wear,boy,all_india,diplomatic_meeting
Smart Casual Jumpsuit,Fusion Wear,girl,metro_cities,creative_agency_meeting
Chef Uniform,Workwear,boy,all,restaurant_kitchen
Apron and Chef Hat,Workwear,girl,all,bakery_shift
Formal Kurta Pajama,Ethnic Wear,boy,all_india,corporate_diwali_event
Silk Anarkali Suit,Ethnic Wear,girl,all_india,corporate_cultural_event
Blazer and Chinos,Workwear,boy,all,client_sales_pitch
Midi Dress,Formal Wear,girl,all,hr_interview
Flight Attendant Uniform,Uniform,girl,all,international_flight_duty
Pilot Uniform,Uniform,boy,all,commercial_flight
Retail Uniform Polo,Workwear,boy,all,store_customer_service
Cashmere Sweater and Trousers,Formal Wear,girl,all,executive_boardroom
Formal Sherwani,Ethnic Wear,boy,north_india,corporate_wedding_reception
Chiffon Saree,Ethnic Wear,girl,all_india,award_ceremony
Smart Casual Polo,Workwear,boy,all,tech_product_launch
Designer Kurti,Fusion Wear,girl,all_india,media_press_conference
Tailored Vest and Trousers,Formal Wear,boy,all,consulting_client_meeting
Formal Blouse and Skirt,Formal Wear,girl,all,corporate_training_session
Scrubs with Stethoscope,Workwear,boy,all,emergency_room_shift
Nurse Cap and Scrubs,Workwear,girl,all,pediatric_ward_duty
Judge Robe,Formal Wear,boy,all,court_hearing
