followers_count,friends_count,posts_count,has_profile_pic,name_length,label
920,465,150,0,8,0
499,77,192,1,3,0
676,173,189,0,7,1
433,220,63,1,8,0
739,497,71,0,8,1
77,430,111,0,12,0
863,68,58,1,3,1
37,155,125,1,12,1
740,403,9,0,14,1
917,7,42,1,9,0
48,103,134,0,11,1
632,183,180,1,9,0
959,303,101,0,14,0
542,214,68,1,11,1
549,368,161,1,12,0
158,45,148,1,13,0
268,84,144,0,12,1
388,197,149,0,6,1
635,241,125,1,7,0
930,393,30,1,11,1
488,265,48,1,4,0
487,288,143,1,14,0
345,365,83,1,14,0
281,463,123,1,4,1
247,493,187,1,5,0
817,399,64,0,3,1
4,262,138,0,10,1
893,350,105,0,6,1
985,139,21,1,12,0
668,395,172,0,7,1
446,427,187,0,12,1
90,119,107,1,6,1
394,445,36,1,13,1
648,107,31,1,4,0
608,408,153,1,14,0
703,178,139,0,12,1
175,217,161,1,10,0
197,107,72,1,14,0
619,345,99,0,8,1
871,14,87,0,8,0
288,122,29,1,4,1
133,129,81,1,3,1
467,86,59,0,3,1
21,297,133,1,8,0
412,385,194,0,3,0
213,22,36,1,6,1
424,223,161,0,5,0
875,431,160,1,6,1
496,75,31,0,6,0
777,259,53,1,11,1
916,211,94,1,14,0
917,29,23,1,14,0
981,418,107,0,10,0
590,253,15,1,12,0
225,339,72,1,8,1
256,204,22,1,6,1
274,8,79,1,8,1
472,305,37,0,14,1
258,117,44,1,11,0
132,95,179,1,5,1
227,238,74,0,14,0
739,362,171,1,14,1
842,322,134,1,4,1
819,432,65,1,14,0
521,421,64,0,5,1
619,457,46,1,13,0
698,444,115,0,5,1
801,193,127,1,7,1
543,470,51,1,9,1
646,436,178,1,10,1
452,465,146,0,6,1
774,19,65,1,8,1
936,320,29,1,6,0
141,52,126,1,3,0
29,486,116,1,7,0
700,48,105,0,14,1
604,321,51,1,5,1
636,473,20,1,5,1
201,93,190,0,6,0
473,324,14,0,4,0
434,333,184,1,12,0
310,36,49,0,10,0
157,37,174,1,13,1
434,394,115,0,5,0
285,225,107,0,13,0
210,91,18,1,8,1
482,394,98,1,10,1
210,361,22,0,3,1
806,26,38,0,6,0
412,286,182,1,11,0
844,301,76,1,11,0
672,372,148,1,12,1
876,268,193,1,11,1
243,226,87,1,9,0
577,453,57,0,5,0
549,499,76,1,11,1
34,371,69,1,5,1
30,179,159,1,5,0
601,300,197,1,8,1
690,416,24,1,11,1
